Cage,Date,Week,Temperature,Richness,Composition,gsm1,AOP2,Col,AOP2.gsoh,No_Plants,Biomass_g
58,2018-06-05,1,23 C,2,Col_AOP2.gsoh,0,0,1,1,8,NA
14,2018-06-05,1,20 C,1,Col,0,0,1,0,8,NA
26,2018-06-05,1,20 C,1,Col,0,0,1,0,8,NA
22,2018-06-05,1,20 C,1,AOP2.gsoh,0,0,0,1,8,NA
56,2018-06-05,1,23 C,1,AOP2.gsoh,0,0,0,1,8,NA
41,2018-06-05,1,23 C,2,Col_AOP2,0,1,1,0,8,NA
8,2018-06-05,1,20 C,2,Col_AOP2.gsoh,0,0,1,1,8,NA
43,2018-06-05,1,23 C,4,Poly,1,1,1,1,8,NA
44,2018-06-05,1,23 C,1,AOP2,0,1,0,0,8,NA
50,2018-06-05,1,23 C,2,Col_AOP2,0,1,1,0,8,NA
11,2018-06-05,1,20 C,2,gsm1_AOP2,1,1,0,0,8,NA
55,2018-06-05,1,23 C,2,Col_AOP2.gsoh,0,0,1,1,8,NA
5,2018-06-05,1,20 C,1,gsm1,1,0,0,0,8,NA
57,2018-06-05,1,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,NA
52,2018-06-05,1,23 C,1,AOP2,0,1,0,0,8,NA
42,2018-06-05,1,23 C,2,Col_AOP2,0,1,1,0,8,NA
46,2018-06-05,1,23 C,4,Poly,1,1,1,1,8,NA
12,2018-06-05,1,20 C,4,Poly,1,1,1,1,8,NA
27,2018-06-05,1,20 C,2,Col_AOP2,0,1,1,0,8,NA
49,2018-06-05,1,23 C,2,Col_gsm1,1,0,1,0,8,NA
37,2018-06-05,1,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,NA
13,2018-06-05,1,20 C,4,Poly,1,1,1,1,8,NA
36,2018-06-05,1,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,NA
7,2018-06-05,1,20 C,4,Poly,1,1,1,1,8,NA
10,2018-06-05,1,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,NA
28,2018-06-05,1,20 C,2,Col_AOP2.gsoh,0,0,1,1,8,NA
21,2018-06-05,1,20 C,2,Col_AOP2,0,1,1,0,8,NA
30,2018-06-05,1,20 C,2,Col_gsm1,1,0,1,0,8,NA
54,2018-06-05,1,23 C,1,AOP2.gsoh,0,0,0,1,8,NA
40,2018-06-05,1,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,NA
20,2018-06-05,1,20 C,2,gsm1_AOP2,1,1,0,0,8,NA
45,2018-06-05,1,23 C,2,Col_gsm1,1,0,1,0,8,NA
60,2018-06-05,1,23 C,2,gsm1_AOP2,1,1,0,0,8,NA
25,2018-06-05,1,20 C,1,AOP2,0,1,0,0,8,NA
38,2018-06-05,1,23 C,4,Poly,1,1,1,1,8,NA
18,2018-06-05,1,20 C,2,Col_AOP2.gsoh,0,0,1,1,8,NA
51,2018-06-05,1,23 C,1,gsm1,1,0,0,0,8,NA
33,2018-06-05,1,23 C,1,Col,0,0,1,0,8,NA
15,2018-06-05,1,20 C,1,AOP2.gsoh,0,0,0,1,8,NA
23,2018-06-05,1,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,7,NA
2,2018-06-05,1,20 C,4,Poly,1,1,1,1,8,NA
9,2018-06-05,1,20 C,2,Col_gsm1,1,0,1,0,8,NA
24,2018-06-05,1,20 C,1,gsm1,1,0,0,0,8,NA
19,2018-06-05,1,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,NA
17,2018-06-05,1,20 C,2,gsm1_AOP2,1,1,0,0,8,NA
39,2018-06-05,1,23 C,1,gsm1,1,0,0,0,8,NA
48,2018-06-05,1,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,NA
31,2018-06-05,1,23 C,2,gsm1_AOP2,1,1,0,0,8,NA
4,2018-06-05,1,20 C,1,AOP2,0,1,0,0,8,NA
53,2018-06-05,1,23 C,4,Poly,1,1,1,1,8,NA
47,2018-06-05,1,23 C,2,gsm1_AOP2,1,1,0,0,8,NA
6,2018-06-05,1,20 C,2,Col_AOP2,0,1,1,0,8,NA
35,2018-06-05,1,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,NA
34,2018-06-05,1,23 C,2,Col_AOP2.gsoh,0,0,1,1,8,NA
32,2018-06-05,1,23 C,1,Col,0,0,1,0,8,NA
29,2018-06-05,1,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,NA
59,2018-06-05,1,23 C,2,Col_gsm1,1,0,1,0,8,NA
3,2018-06-05,1,20 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,NA
1,2018-06-05,1,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,NA
16,2018-06-05,1,20 C,2,Col_gsm1,1,0,1,0,8,NA
37,2018-06-11,2,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,0.848
44,2018-06-11,2,23 C,1,AOP2,0,1,0,0,8,0.611
54,2018-06-11,2,23 C,1,AOP2.gsoh,0,0,0,1,8,0.375
27,2018-06-11,2,20 C,2,Col_AOP2,0,1,1,0,8,1.847
16,2018-06-11,2,20 C,2,Col_gsm1,1,0,1,0,8,1.182
48,2018-06-11,2,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,0.508
42,2018-06-11,2,23 C,2,Col_AOP2,0,1,1,0,8,0.934
22,2018-06-11,2,20 C,1,AOP2.gsoh,0,0,0,1,8,0.783
30,2018-06-11,2,20 C,2,Col_gsm1,1,0,1,0,8,1.804
59,2018-06-11,2,23 C,2,Col_gsm1,1,0,1,0,8,1.408
43,2018-06-11,2,23 C,4,Poly,1,1,1,1,8,1.336
51,2018-06-11,2,23 C,1,gsm1,1,0,0,0,8,1.202
35,2018-06-11,2,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,0.634
5,2018-06-11,2,20 C,1,gsm1,1,0,0,0,8,1.764
33,2018-06-11,2,23 C,1,Col,0,0,1,0,8,1.455
58,2018-06-11,2,23 C,2,Col_AOP2.gsoh,0,0,1,1,8,0.767
34,2018-06-11,2,23 C,2,Col_AOP2.gsoh,0,0,1,1,8,0.748
40,2018-06-11,2,23 C,2,gsm1_AOP2.gsoh,1,0,0,1,8,1.013
57,2018-06-11,2,23 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,0.394
1,2018-06-11,2,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,0.927
23,2018-06-11,2,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,0.41
32,2018-06-11,2,23 C,1,Col,0,0,1,0,8,1.465
19,2018-06-11,2,20 C,2,AOP2_AOP2.gsoh,0,1,0,1,8,0.718
12,2018-06-11,2,20 C,4,Poly,1,1,1,1,8,1.388
53,2018-06-11,2,23 C,4,Poly,1,1,1,1,8,1.076
28,2018-06-11,2,20 C,2,Col_AOP2.gsoh,0,0,1,1,8,1.465
49,2018-06-11,2,23 C,2,Col_gsm1,1,0,1,0,8,0.84
